[告示] Ａ３００ 救命救急入院料（１日につき） | （１） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （２） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （３） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （１） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （２） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （３） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （１） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （２） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （３） | （削除）
[告示] Ａ３００ 救命救急入院料（１日につき） | （４） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （１） | （削除）
[告示] Ａ３０１ 特定集中治療室管理料（１日につき） | （２） | （削除）
[告示] Ａ３０４ 地域包括医療病棟入院料（１日につき） | 注１　（２） | 看護職員夜間16対１配置加算２ 45点 11 リハビリテーション、栄養管理及び口腔管理を連携・推進する体制につき別に厚 生労働大臣が定める施設基準に適合しているものとして保険医療機関が地方厚生局 長等に届け出た病棟に入院している患者については、当該基準に係る区分に従い、 リハビリテーション・栄養・口腔連携加算として、リハビリテーション、栄養管理 及び口腔管理に係る計画を作成した日から起算して14日を限度として次に掲げる点 数をそれぞれ所定点数に加算する。この場合において、区分番号Ａ２３３－２に掲 げる栄養サポートチーム加算は別に算定できない。
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（１） | 医療区分２の患者に相当するもの
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（２） | 医療区分１の患者に相当するもの
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（１） | 医療区分２の患者に相当するもの
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（２） | 医療区分１の患者に相当するもの 1,590点 ５ 診療に係る費用（注２及び注３に規定する加算、第２節に規定する臨床研修病 院入院診療加算、医師事務作業補助体制加算（50対１補助体制加算、75対１補助 体制加算又は100対１補助体制加算に限る。）、超重症児（者）入院診療加算・ 準超重症児（者）入院診療加算、地域加算、離島加算、特定感染症患者療養環境 特別加算、特定薬剤治療環境特別加算、口腔管理連携加算、医療安全対策加算、 感染対策向上加算、患者サポート体制充実加算、報告書管理体制加算、身体的拘 束最小化推進体制加算、データ提出加算、入退院支援加算（１のハ及び２のロに 限る。）、医療的ケア児（者）入院前支援加算、認知症ケア加算、排尿自立支援 加算及び協力対象施設入所者入院加算、第14部その他並びに除外薬剤・注射薬の 費用を除く。）は、特殊疾患病棟入院料に含まれるものとする。 ６ 当該病棟に入院する脳卒中、脳卒中の後遺症又は廃用症候群の患者（脳卒中又 は廃用症候群の発症前から重度の肢体不自由児（者）であった患者、重度の意識 障害者、筋ジストロフィー患者及び難病患者等を除く。）であって、基本診療料 の施設基準等第５の３（１）のロに規定する医療区分２の患者又は第６の３（２）のロ の④に規定する医療区分１の患者に相当するものについては、注１の規定にかか わらず、当該患者が入院している病棟の区分に従い、次に掲げる点数をそれぞれ 算定する。
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（１） | 医療区分２の患者に相当するもの
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（２） | 医療区分１の患者に相当するもの
[告示] Ａ３０９ 特殊疾患病棟入院料（１日につき） | 注１　（１） | 医療区分２の患者に相当するもの
[告示] Ａ４００ 短期滞在手術等基本料 | （１） | 麻酔を伴う手術を行った場合 2,948点 （２）（１）以外の場合
[告示] Ａ４００ 短期滞在手術等基本料 | （２） | （削除）
[告示] Ａ４００ 短期滞在手術等基本料 | （１） | 麻酔を伴う手術を行った場合 795点 （２）（１）以外の場合 680点 ２ 短期滞在手術等基本料３（４泊５日までの場合）
[告示] Ａ４００ 短期滞在手術等基本料 | （２） | （削除）
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（１） | 初回 ① 対面で行った場合 260点 ② 情報通信機器を用いた場合
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（２） | ２回目以降 ① 対面で行った場合 200点 ② 情報通信機器を用いた場合 180点 ③ （１）の①又は②の追加的な指導を行った場合
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（１） | 初回 ① 対面で行った場合 250点 ② 情報通信機器を用いた場合
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（２） | ２回目以降 ① 対面で行った場合 190点 ② 情報通信機器を用いた場合 170点 ③ （１）の①又は②の追加的な指導を行った場合
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（１） | 対面で行った場合
[告示] Ｂ００１ 特定疾患治療管理料 | 注１　（１） | １月目
[告示] Ｂ００１－２－11 小児かかりつけ診療料（１日につき） | （２） | 再診時
[告示] Ｂ００１－２－11 小児かかりつけ診療料（１日につき） | （２） | 再診時 577点 ２ 小児かかりつけ診療料２
[告示] Ｂ００１－２－11 小児かかりつけ診療料（１日につき） | （２） | 再診時
[告示] Ｂ００１－２－11 小児かかりつけ診療料（１日につき） | （２） | 再診時
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （１） | 初回から３回目まで（静注製剤等の場合）801点
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （２） | 初回から３回目まで（その他の場合）351点
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （３） | ４回目以降（静注製剤等の場合）
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （１） | 初回から３回目まで（静注製剤等の場合）
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （２） | 初回から３回目まで（その他の場合）261点
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （３） | ４回目以降（静注製剤等の場合）
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （１） | 初回から３回目まで（静注製剤等の場合）
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （２） | 初回から３回目まで（その他の場合）241点
[告示] Ｂ００１－２－12 外来腫瘍化学療法診療料 | （３） | ４回目以降（静注製剤等の場合）281点
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（２） | 充実管理加算２
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（２） | 充実管理加算２
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３ 生活習慣病管理料（Ⅰ） | 注１　（２） | 充実管理加算２
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（２） | 充実管理加算２
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（２） | 充実管理加算２
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（１） | 充実管理加算１
[告示] Ｂ００１－３－３ 生活習慣病管理料（Ⅱ）333点 | 注１　（２） | 充実管理加算２
[告示] Ｃ０００ 往診料 | 注１　（３） | 深夜往診加算 485点 ２ 患家における診療時間が１時間を超えた場合は、患家診療時間加算として、 30分又はその端数を増すごとに、100点を所定点数に加算する。 ３ 在宅で死亡した患者（往診を行った後、24時間以内に在宅以外で死亡した患 者を含む。）に対して、その死亡日及び死亡日前14日以内に、区分番号Ｂ００ ４に掲げる退院時共同指導料１を算定し、かつ、往診を実施した場合には、当 該患者に係る区分等に従い、在宅ターミナルケア加算として、次に掲げる点数 をそれぞれ所定点数に加算する。この場合において、区分番号Ｃ００１の注６ に規定する在宅ターミナルケア加算及び区分番号Ｃ００１－２の注５に規定す る在宅ターミナルケア加算は算定できない。ただし、別に厚生労働大臣が定め る施設基準に適合するものとして地方厚生局長等に届け出た保険医療機関が行 った場合は、当該基準に掲げる区分に従い、在宅医療充実体制加算、在宅療養 実績加算１又は在宅療養実績加算２として、それぞれ2,000点、750点又は500点 を、がん患者に対して酸素療法を行っていた場合は酸素療法加算として2,000点 を更に所定点数に加算する。
[告示] Ｃ００１ 在宅患者訪問診療料（Ⅰ）（１日につき） | 注１　（２） | 在宅療養支援診療所又は在宅療養支援病院（（１）に規定するものを除く。 ）の場合 4,500点 （３）（１）及び（２）に掲げるもの以外の場合
[告示] Ｃ００１ 在宅患者訪問診療料（Ⅰ）（１日につき） | 注１　（２） | 在宅療養支援診療所又は在宅療養支援病院（（１）に規定するものを除く。 ）の場合 4,500点 （３）（１）及び（２）に掲げるもの以外の場合 3,500点 ７ 往診又は訪問診療を行い、在宅で患者を看取った場合（１を算定する場合に 限る。）には、看取り加算として、3,000点を所定点数に加算する。 ８ 死亡診断を行った場合（１を算定する場合に限る。）には、死亡診断加算と して、200点を所定点数に加算する。ただし、注７に規定する加算を算定する場 合は、算定できない。 ９ 保険医療機関の所在地と患家の所在地との距離が16キロメートルを超えた場 合又は海路による訪問診療を行った場合で、特殊の事情があったときの在宅患 者訪問診療料（Ⅰ）は、別に厚生労働大臣が定めるところによって算定する。 10 往診料を算定する往診の日の翌日までに行った訪問診療（在宅療養支援診療 所又は在宅療養支援病院の保険医が行ったものを除く。）の費用は算定しない 。 11 訪問診療に要した交通費は、患家の負担とする。 12 １について、在宅療養支援診療所又は在宅療養支援病院であって別に厚生労 働大臣が定める基準に適合しなくなった場合には、当該基準に適合しなくなっ た後の直近１月に限り、同一患者につき同一月において訪問診療を５回以上実 施した場合における５回目以降の当該訪問診療については、所定点数の100分の 50に相当する点数により算定する。 13 別に厚生労働大臣が定める施設基準に適合しているものとして地方厚生局長等 に届け出た保険医療機関において、健康保険法第３条第13項に規定する電子資格 確認等により得られる情報を踏まえて計画的な医学管理の下に、訪問して診療を 行った場合は、在宅医療ＤＸ情報活用加算として、月１回に限り、当該基準に係 る区分に従い、次に掲げる点数をそれぞれ所定点数に加算する。ただし、区分番 号Ａ０００に掲げる初診料の注16、区分番号Ａ００１に掲げる再診料の注19若し くは区分番号Ａ００２に掲げる外来診療料の注10にそれぞれ規定する電子的診療 情報連携体制整備加算、区分番号Ｃ００３に掲げる在宅がん医療総合診療料の注 ８に規定する在宅医療ＤＸ情報活用加算又は区分番号Ｃ００５に掲げる在宅患者 訪問看護・指導料の注17（区分番号Ｃ００５－１－２の注８の規定により準用す る場合を含む。）若しくは区分番号Ｉ０１２に掲げる精神科訪問看護・指導料の 注18にそれぞれ規定する訪問看護医療ＤＸ情報活用加算を算定した月は、在宅医 療ＤＸ情報活用加算は算定できない。
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （１） | 別に厚生労働大臣が定める状態の患者に対し、月２回以上訪問診療を行っ ている場合 ① 単一建物診療患者が１人の場合 5,385点 ② 単一建物診療患者が２人以上９人以下の場合 4,485点 ③ 単一建物診療患者が10人以上19人以下の場合 2,865点 ④ 単一建物診療患者が20人以上49人以下の場合 2,400点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （３） | 月２回以上訪問診療等を行っている場合であって、うち１回以上情報通信 機器を用いた診療を行っている場合（（１）及び（２）の場合を除く。） ① 単一建物診療患者が１人の場合 3,014点 ② 単一建物診療患者が２人以上９人以下の場合 1,670点 ③ 単一建物診療患者が10人以上19人以下の場合 865点 ④ 単一建物診療患者が20人以上49人以下の場合 780点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （５） | 月１回訪問診療等を行っている場合であって、２月に１回に限り情報通信 機器を用いた診療を行っている場合 ① 単一建物診療患者が１人の場合 1,500点 ② 単一建物診療患者が２人以上９人以下の場合 828点 ③ 単一建物診療患者が10人以上19人以下の場合 425点 ④ 単一建物診療患者が20人以上49人以下の場合 373点 ⑤ ①から④まで以外の場合
